	Genotype	Condition	grp
mdx1.2DM	MDX	DM	MDX_DM
mdx2.2DM	MDX	DM	MDX_DM
mdx3.2DM	MDX	DM	MDX_DM
WT1.myob	WT	MYOB	WT_MYOB
WT2.myob	WT	MYOB	WT_MYOB
WT3.myob	WT	MYOB	WT_MYOB
WT1.2DM	WT	DM	WT_DM
WT2.2DM	WT	DM	WT_DM
WT3.2DM	WT	DM	WT_DM
WT.QSC.A	WT	QSC	WT_QSC
WT.QSC.B	WT	QSC	WT_QSC
WT.QSC.782	WT	QSC	WT_QSC
mdx1.myob	MDX	MYOB	MDX_MYOB
mdx2.myob	MDX	MYOB	MDX_MYOB
mdx3.myob	MDX	MYOB	MDX_MYOB
mdx.QSC.77	MDX	QSC	MDX_QSC
mdx.QSC.76	MDX	QSC	MDX_QSC
mdx.QSC.50	MDX	QSC	MDX_QSC
WT.ASC.1	WT	ASC	WT_ASC
WT.ASC.2	WT	ASC	WT_ASC
WT.ASC.3	WT	ASC	WT_ASC
mdx.ASC.78	MDX	ASC	MDX_ASC
mdx.ASC.2	MDX	ASC	MDX_ASC
mdx.ASC.3	MDX	ASC	MDX_ASC